"year","dasdr","lower_95_CI","upper_95_CI"
1980,105.45,98.43,112.46
1981,107.56,100.51,114.61
1982,113.95,106.72,121.17
1983,113.37,106.19,120.54
1984,110.06,103.06,117.06
1985,116.18,109.05,123.32
1986,113.4,106.4,120.41
1987,125.04,117.75,132.33
1988,131.4,123.96,138.83
1989,132.09,124.67,139.5
1990,132.37,124.99,139.75
1991,144.33,136.62,152.04
1992,129.32,122.07,136.57
1993,131.53,124.28,138.79
1994,140.33,132.88,147.79
1995,133.52,126.3,140.74
1996,135.62,128.4,142.84
1997,140.76,133.48,148.04
1998,139.11,131.89,146.34
1999,154.92,147.39,162.45
2000,144.27,137.06,151.49
2001,150.51,143.18,157.83
2002,158.48,151,165.96
2003,148.12,140.92,155.32
2004,165.7,158.14,173.26
2005,155.23,147.98,162.47
2006,155.18,147.97,162.4
2007,149.92,142.87,156.96
2008,164.05,156.73,171.36
2009,166.19,158.91,173.46
2010,161.09,153.95,168.23
2011,164.76,157.58,171.93
2012,163.12,156.04,170.19
2013,169.86,162.67,177.05
2014,175.3,168.07,182.53
2015,170.23,163.15,177.3
2016,165.31,158.34,172.29
2017,162.55,155.68,169.42
